/*
 Cornu spiral.
 C(NU) is the x-axis.
 S(NU) is the y-axis.
 DELTA(NU)=0.01
*/
-5.138052E-01 -4.647751E-01
-5.043187E-01 -4.623661E-01
-4.945320E-01 -4.624678E-01
-4.850959E-01 -4.650709E-01
-4.766389E-01 -4.699990E-01
-4.697192E-01 -4.769237E-01
-4.647937E-01 -4.853844E-01
-4.621856E-01 -4.948201E-01
-4.620633E-01 -5.046102E-01
-4.644324E-01 -5.141097E-01
-4.691352E-01 -5.226983E-01
-4.758610E-01 -5.298141E-01
-4.841703E-01 -5.349962E-01
-4.935195E-01 -5.379086E-01
-5.033026E-01 -5.383656E-01
-5.128841E-01 -5.363402E-01
-5.216475E-01 -5.319654E-01
-5.290277E-01 -5.255265E-01
-5.345535E-01 -5.174382E-01
-5.378717E-01 -5.082222E-01
-5.387734E-01 -4.984672E-01
-5.372034E-01 -4.887977E-01
-5.332643E-01 -4.798269E-01
-5.272093E-01 -4.721249E-01
-5.194230E-01 -4.661765E-01
-5.104004E-01 -4.623564E-01
-5.007094E-01 -4.609021E-01
-4.909611E-01 -4.619027E-01
-4.817661E-01 -4.652926E-01
-4.736986E-01 -4.708572E-01
-4.672605E-01 -4.782469E-01
-4.628504E-01 -4.870001E-01
-4.607397E-01 -4.965721E-01
-4.610564E-01 -5.063694E-01
-4.637783E-01 -5.157868E-01
-4.687349E-01 -5.242447E-01
-4.756192E-01 -5.312248E-01
-4.840071E-01 -5.363009E-01
-4.933844E-01 -5.391649E-01
-5.031779E-01 -5.396447E-01
-5.127917E-01 -5.377139E-01
-5.216427E-01 -5.334923E-01
-5.291964E-01 -5.272380E-01
-5.349981E-01 -5.193309E-01
-5.387007E-01 -5.102484E-01
-5.400840E-01 -5.005382E-01
-5.390680E-01 -4.907822E-01
-5.357162E-01 -4.815634E-01
-5.302310E-01 -4.734305E-01
-5.229409E-01 -4.668658E-01
-5.142803E-01 -4.622566E-01
-5.047630E-01 -4.598733E-01
-4.949513E-01 -4.598539E-01
-4.854229E-01 -4.621968E-01
-4.767366E-01 -4.667616E-01
-4.694000E-01 -4.732787E-01
-4.638397E-01 -4.813652E-01
-4.603775E-01 -4.905485E-01
-4.592121E-01 -5.002937E-01
-4.604082E-01 -5.100358E-01
-4.638940E-01 -5.192117E-01
-4.694659E-01 -5.272933E-01
-4.768011E-01 -5.338172E-01
-4.854770E-01 -5.384114E-01
-4.949959E-01 -5.408153E-01
-5.048138E-01 -5.408944E-01
-5.143719E-01 -5.386470E-01
-5.231281E-01 -5.342033E-01
-5.305879E-01 -5.278174E-01
-5.363317E-01 -5.198522E-01
-5.400383E-01 -5.107573E-01
-5.415018E-01 -5.010456E-01
-5.406431E-01 -4.912615E-01
-5.375129E-01 -4.819513E-01
-5.322883E-01 -4.736332E-01
-5.252620E-01 -4.667681E-01
-5.168256E-01 -4.617347E-01
-5.074470E-01 -4.588090E-01
-4.976443E-01 -4.581496E-01
-4.879569E-01 -4.597902E-01
-4.789157E-01 -4.636379E-01
-4.710143E-01 -4.694797E-01
-4.646823E-01 -4.769947E-01
-4.602622E-01 -4.857720E-01
-4.579914E-01 -4.953340E-01
-4.579901E-01 -5.051625E-01
-4.602557E-01 -5.147268E-01
-4.646634E-01 -5.235127E-01
-4.709741E-01 -5.310495E-01
-4.788479E-01 -5.369354E-01
-4.878623E-01 -5.408584E-01
-4.975363E-01 -5.426120E-01
-5.073554E-01 -5.421056E-01
-5.167995E-01 -5.393689E-01
-5.253705E-01 -5.345493E-01
-5.326184E-01 -5.279026E-01
-5.381636E-01 -5.197808E-01
-5.417180E-01 -5.106108E-01
